反馈 ID,提交的日期,末页,起始语言,种子,开始日期,上次操作日期,请问您的实验编号是,请问您的实验条件是,请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [1、 Mental Demand---心理需求---How mentally demanding was the task? ---完成任务过程中需要付出多大的心理和脑力感知活动（如：思考、决策、计算、记忆、寻找等），该任务从脑力方面对你而言，是容易还是困难，简单还是复杂？],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [2、Physical Demand---体力需求---How physically demanding was the task?---完成任务过程中需要付出多大的体力活动（如:推、拉、转、控制等），该任务从体力方面对你而言，是容易还是困难，轻松还是费力?],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [3、Temporal Demand---时间需求---How hurried or rushed was the pace of the task?---在完成任务的过程中，由于任务的节奏，你感受到了多少时间上的压力?任务的节奏是慢还是快?],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [4、 Performance---自我表现---How successful were you in accomplishing what you were asked to do?---请对您自身整体表现进行评估],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [5、 Effort---努力程度---How hard did you have to work to accomplish your level of performance---在完成任务过程中，为了完成任务，你付出了多大的努力（脑力和体力）?],"请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [6、 Frustration---受挫程度---How insecure, discouraged, irritated, stressed, and annoyed wereyou?---在完成任务的过程中，你感受到的苦恼、压力、恼怒等受挫的感受程度是多少?]",总计时长,组时间: 实验信息填写,问题时间: INFO001,问题时间: INFO002,组时间: NASA-TLX评估量表,问题时间: SQ01,问题时间: SQ02,问题时间: SQ03,问题时间: SQ04,问题时间: SQ05,问题时间: SQ06
86,2024/12/27 15:54,2,zh-Hans,1621018642,2024/12/27 15:42,2024/12/27 15:54,17,做反扫视测试与倒数,Low,Low,Low,Good,Low,Low,680.86,661.27,,,19.59,,,,,,
87,2024/12/27 16:00,2,zh-Hans,336141332,2024/12/27 16:00,2024/12/27 16:00,17,只遥控小车,Very low,Very low,Very low,Very Good,Very low,Very low,16.73,6.88,,,9.85,,,,,,
88,2024/12/28 10:05,2,zh-Hans,1709900106,2024/12/28 10:00,2024/12/28 10:05,18,只做前扫视测试,Low,Medium,Fairly low,Fairly Good,Medium,Low,278.72,241.08,,,37.64,,,,,,
89,2024/12/28 10:11,2,zh-Hans,1168987100,2024/12/28 10:06,2024/12/28 10:11,18,只遥控小车,Very low,Fairly low,Very low,Good,Low,Very low,304.51,277.92,,,26.59,,,,,,
90,2024/12/28 10:25,2,zh-Hans,1831986846,2024/12/28 10:24,2024/12/28 10:25,18,做前扫视测试与倒数,Fairly High,Fairly High,Fairly High,Fairly Poor,Fairly High,Fairly High,35.28,9.01,,,26.27,,,,,,
91,2024/12/28 10:44,2,zh-Hans,1891353961,2024/12/28 10:39,2024/12/28 10:44,18,做反扫视测试与倒数,High,High,High,Poor,High,High,296.12,276.74,,,19.38,,,,,,
92,2024/12/28 10:56,2,zh-Hans,1182545555,2024/12/28 10:52,2024/12/28 10:56,18,只做反扫视测试,Medium,Medium,Medium,Fairly Poor,Medium,Medium,219.04,206.12,,,12.92,,,,,,
93,2024/12/28 13:00,2,zh-Hans,106415025,2024/12/28 12:59,2024/12/28 13:00,19,做反扫视测试与倒数,High,Low,High,Medium,Very High,Fairly low,61.89,7.94,,,53.95,,,,,,
94,2024/12/28 13:08,2,zh-Hans,808234080,2024/12/28 13:07,2024/12/28 13:08,19,只遥控小车,Medium,Fairly low,Fairly low,Fairly Good,Medium,Fairly low,46.05,6.81,,,39.24,,,,,,
95,2024/12/28 13:21,2,zh-Hans,1499474411,2024/12/28 13:17,2024/12/28 13:21,19,只做反扫视测试,Medium,Low,Medium,Medium,Fairly High,Fairly low,285.66,254.59,,,31.07,,,,,,
96,2024/12/28 13:35,2,zh-Hans,1645158115,2024/12/28 13:34,2024/12/28 13:35,19,只做前扫视测试,Medium,Medium,Fairly low,Medium,Medium,Fairly low,29.82,8.06,,,21.76,,,,,,
97,2024/12/28 13:48,2,zh-Hans,2064142921,2024/12/28 13:44,2024/12/28 13:48,19,做前扫视测试与倒数,Fairly High,Medium,High,Poor,Very High,Fairly High,243.25,213.6,,,29.65,,,,,,
98,2024/12/29 13:19,2,zh-Hans,2105020580,2024/12/29 13:06,2024/12/29 13:19,20,只做反扫视测试,Fairly low,Fairly low,Medium,Fairly Good,Fairly low,Low,778.1,729.21,,,48.89,,,,,,
99,2024/12/29 13:35,2,zh-Hans,870264166,2024/12/29 13:34,2024/12/29 13:35,20,做前扫视测试与倒数,Fairly High,Fairly low,High,Fairly Good,Fairly High,Fairly low,39.65,8.4,,,31.25,,,,,,
100,2024/12/29 13:50,2,zh-Hans,1053874512,2024/12/29 13:50,2024/12/29 13:50,20,做反扫视测试与倒数,Medium,Medium,Very High,Medium,Fairly High,Fairly High,35.36,8.9,,,26.46,,,,,,
101,2024/12/29 14:04,2,zh-Hans,423311168,2024/12/29 14:03,2024/12/29 14:04,20,只做前扫视测试,Low,Fairly low,Medium,Fairly Good,Fairly low,Fairly low,35.29,13.32,,,21.97,,,,,,
102,2024/12/29 14:12,2,zh-Hans,1194998554,2024/12/29 14:10,2024/12/29 14:12,20,只遥控小车,Very low,Low,High,Good,Fairly low,Low,124.81,99.84,,,24.97,,,,,,
